# x, y, z, vx, vy, vz
-2.212144434452056885e-03,3.662873357534408569e-01,1.818155765533447266e+00,1.049339771270751953e-04,1.383125782012939453e-04,9.453296661376953125e-05
-2.107210457324981689e-03,3.664256483316421509e-01,1.818250298500061035e+00,1.693107187747955322e-04,1.177936792373657227e-04,1.177191734313964844e-04
-1.937899738550186157e-03,3.665434420108795166e-01,1.818368017673492432e+00,1.646131277084350586e-04,1.262873411178588867e-04,8.523464202880859375e-05
-1.773286610841751099e-03,3.666697293519973755e-01,1.818453252315521240e+00,1.852195709943771362e-04,1.010447740554809570e-04,7.086992263793945312e-05
-1.588067039847373962e-03,3.667707741260528564e-01,1.818524122238159180e+00,1.942049711942672729e-04,1.044124364852905273e-04,5.376338958740234375e-05
-1.393862068653106689e-03,3.668751865625381470e-01,1.818577885627746582e+00,2.257134765386581421e-04,1.263022422790527344e-04,5.149841308593750000e-05
-1.168148592114448547e-03,3.670014888048171997e-01,1.818629384040832520e+00,2.122689038515090942e-04,1.419335603713989258e-04,-1.144409179687500000e-05
-9.558796882629394531e-04,3.671434223651885986e-01,1.818617939949035645e+00,2.408474683761596680e-04,1.685619354248046875e-04,-4.547834396362304688e-05
-7.150322198867797852e-04,3.673119843006134033e-01,1.818572461605072021e+00,2.631507813930511475e-04,1.718103885650634766e-04,-7.885694503784179688e-05
-4.518814384937286377e-04,3.674837946891784668e-01,1.818493604660034180e+00,2.548117190599441528e-04,1.968294382095336914e-04,-1.369118690490722656e-04
-1.970697194337844849e-04,3.676806241273880005e-01,1.818356692790985107e+00,3.067366778850555420e-04,2.239346504211425781e-04,-2.441406250000000000e-04
1.096669584512710571e-04,3.679045587778091431e-01,1.818112552165985107e+00,2.975203096866607666e-04,2.564936876296997070e-04,-3.646016120910644531e-04
4.071872681379318237e-04,3.681610524654388428e-01,1.817747950553894043e+00,3.283564001321792603e-04,2.239346504211425781e-04,-5.146861076354980469e-04
7.355436682701110840e-04,3.683849871158599854e-01,1.817233264446258545e+00,3.364775329828262329e-04,2.345442771911621094e-04,-6.908774375915527344e-04
1.072021201252937317e-03,3.686195313930511475e-01,1.816542387008666992e+00,4.110205918550491333e-04,2.032220363616943359e-04,-9.162425994873046875e-04
1.483041793107986450e-03,3.688227534294128418e-01,1.815626144409179688e+00,4.088040441274642944e-04,1.083165407180786133e-04,-1.183867454528808594e-03
1.891845837235450745e-03,3.689310699701309204e-01,1.814442276954650879e+00,4.696920514106750488e-04,-1.139938831329345703e-05,-1.520514488220214844e-03
2.361537888646125793e-03,3.689196705818176270e-01,1.812921762466430664e+00,5.143918097019195557e-04,-1.532733440399169922e-04,-1.874864101409912109e-03
2.875929698348045349e-03,3.687663972377777100e-01,1.811046898365020752e+00,5.753170698881149292e-04,-3.515034914016723633e-04,-2.292931079864501953e-03
3.451246768236160278e-03,3.684148937463760376e-01,1.808753967285156250e+00,6.399992853403091431e-04,-6.556063890457153320e-04,-2.758443355560302734e-03
4.091246053576469421e-03,3.677592873573303223e-01,1.805995523929595947e+00,6.726216524839401245e-04,-9.867548942565917969e-04,-3.274500370025634766e-03
4.763867706060409546e-03,3.667725324630737305e-01,1.802721023559570312e+00,7.752887904644012451e-04,-1.406848430633544922e-03,-3.789424896240234375e-03
5.539156496524810791e-03,3.653656840324401855e-01,1.798931598663330078e+00,8.318927139043807983e-04,-1.885667443275451660e-03,-4.347801208496093750e-03
6.371049210429191589e-03,3.634800165891647339e-01,1.794583797454833984e+00,9.112972766160964966e-04,-2.452984452247619629e-03,-4.918158054351806641e-03
7.282346487045288086e-03,3.610270321369171143e-01,1.789665639400482178e+00,9.877216070890426636e-04,-3.105759620666503906e-03,-5.474448204040527344e-03
8.270068094134330750e-03,3.579212725162506104e-01,1.784191191196441650e+00,1.027734950184822083e-03,-3.819644451141357422e-03,-5.986332893371582031e-03
9.297803044319152832e-03,3.541016280651092529e-01,1.778204858303070068e+00,1.106165349483489990e-03,-4.664435982704162598e-03,-6.472527980804443359e-03
1.040396839380264282e-02,3.494371920824050903e-01,1.771732330322265625e+00,1.115746796131134033e-03,-5.517423152923583984e-03,-6.901204586029052734e-03
1.151971518993377686e-02,3.439197689294815063e-01,1.764831125736236572e+00,1.156190410256385803e-03,-6.459772586822509766e-03,-7.208585739135742188e-03
1.267590560019016266e-02,3.374599963426589966e-01,1.757622539997100830e+00,1.166526228189468384e-03,-7.448330521583557129e-03,-7.453262805938720703e-03
1.384243182837963104e-02,3.300116658210754395e-01,1.750169277191162109e+00,1.160677522420883179e-03,-8.454650640487670898e-03,-7.568418979644775391e-03
1.500310935080051422e-02,3.215570151805877686e-01,1.742600858211517334e+00,1.155743375420570374e-03,-9.522929787635803223e-03,-7.539808750152587891e-03
1.615885272622108459e-02,3.120340853929519653e-01,1.735061049461364746e+00,1.118285581469535828e-03,-1.053466647863388062e-02,-7.381916046142578125e-03
1.727713830769062042e-02,3.014994189143180847e-01,1.727679133415222168e+00,1.075500622391700745e-03,-1.156403869390487671e-02,-7.073163986206054688e-03
1.835263893008232117e-02,2.899353802204132080e-01,1.720605969429016113e+00,1.004744321107864380e-03,-1.252404600381851196e-02,-6.654083728790283203e-03
1.935738325119018555e-02,2.774113342165946960e-01,1.713951885700225830e+00,9.661708027124404907e-04,-1.341030746698379517e-02,-6.119906902313232422e-03
2.032355405390262604e-02,2.640010267496109009e-01,1.707831978797912598e+00,8.933432400226593018e-04,-1.421937346458435059e-02,-5.459487438201904297e-03
2.121689729392528534e-02,2.497816532850265503e-01,1.702372491359710693e+00,8.556898683309555054e-04,-1.489826291799545288e-02,-4.715800285339355469e-03
2.207258716225624084e-02,2.348833903670310974e-01,1.697656691074371338e+00,7.721409201622009277e-04,-1.540596783161163330e-02,-3.910362720489501953e-03
2.284472808241844177e-02,2.194774225354194641e-01,1.693746328353881836e+00,7.456783205270767212e-04,-1.582939922809600830e-02,-3.080487251281738281e-03
2.359040640294551849e-02,2.036480233073234558e-01,1.690665841102600098e+00,6.761606782674789429e-04,-1.607608795166015625e-02,-2.222478389739990234e-03
2.426656708121299744e-02,1.875719353556632996e-01,1.688443362712860107e+00,6.618890911340713501e-04,-1.612374931573867798e-02,-1.402676105499267578e-03
2.492845617234706879e-02,1.714481860399246216e-01,1.687040686607360840e+00,6.271461024880409241e-04,-1.605107635259628296e-02,-5.855560302734375000e-04
2.555560227483510971e-02,1.553971096873283386e-01,1.686455130577087402e+00,6.267260760068893433e-04,-1.580908894538879395e-02,1.600384712219238281e-04
2.618232835084199905e-02,1.395880207419395447e-01,1.686615169048309326e+00,5.825823172926902771e-04,-1.541226170957088470e-02,8.094310760498046875e-04
2.676491066813468933e-02,1.241757590323686600e-01,1.687424600124359131e+00,5.817664787173271179e-04,-1.488355919718742371e-02,1.423597335815429688e-03
2.734667714685201645e-02,1.092921998351812363e-01,1.688848197460174561e+00,5.957456305623054504e-04,-1.425930950790643692e-02,1.937389373779296875e-03
2.794242277741432190e-02,9.503289032727479935e-02,1.690785586833953857e+00,5.748709663748741150e-04,-1.354362117126584053e-02,2.372145652770996094e-03
2.851729374378919601e-02,8.148926915600895882e-02,1.693157732486724854e+00,5.658799782395362854e-04,-1.273689931258559227e-02,2.731382846832275391e-03
