# x, y, z, vx, vy, vz
-3.506748005747795105e-03,3.669901043176651001e-01,1.820873379707336426e+00,-8.549541234970092773e-06,3.071129322052001953e-05,-1.329183578491210938e-05
-3.515297546982765198e-03,3.670208156108856201e-01,1.820860087871551514e+00,6.522983312606811523e-06,1.862645149230957031e-06,-3.665685653686523438e-05
-3.508774563670158386e-03,3.670226782560348511e-01,1.820823431015014648e+00,2.762861549854278564e-05,-1.280009746551513672e-05,-7.414817810058593750e-05
-3.481145948171615601e-03,3.670098781585693359e-01,1.820749282836914062e+00,5.564279854297637939e-05,-3.668665885925292969e-05,-1.431703567504882812e-04
-3.425503149628639221e-03,3.669731914997100830e-01,1.820606112480163574e+00,1.262221485376358032e-04,-1.026988029479980469e-04,-2.363324165344238281e-04
-3.299281001091003418e-03,3.668704926967620850e-01,1.820369780063629150e+00,1.993961632251739502e-04,-1.309812068939208984e-04,-3.645420074462890625e-04
-3.099884837865829468e-03,3.667395114898681641e-01,1.820005238056182861e+00,2.762973308563232422e-04,-1.710802316665649414e-04,-5.489587783813476562e-04
-2.823587507009506226e-03,3.665684312582015991e-01,1.819456279277801514e+00,3.759115934371948242e-04,-2.141892910003662109e-04,-7.606744766235351562e-04
-2.447675913572311401e-03,3.663542419672012329e-01,1.818695604801177979e+00,5.154851824045181274e-04,-2.546310424804687500e-04,-1.047015190124511719e-03
-1.932190731167793274e-03,3.660996109247207642e-01,1.817648589611053467e+00,6.739385426044464111e-04,-3.527253866195678711e-04,-1.343488693237304688e-03
-1.258252188563346863e-03,3.657468855381011963e-01,1.816305100917816162e+00,8.461158722639083862e-04,-4.294067621231079102e-04,-1.718342304229736328e-03
-4.121363162994384766e-04,3.653174787759780884e-01,1.814586758613586426e+00,1.043379306793212891e-03,-5.322247743606567383e-04,-2.148807048797607422e-03
6.312429904937744141e-04,3.647852540016174316e-01,1.812437951564788818e+00,1.280380412936210632e-03,-6.755292415618896484e-04,-2.620518207550048828e-03
1.911623403429985046e-03,3.641097247600555420e-01,1.809817433357238770e+00,1.519901677966117859e-03,-8.676201105117797852e-04,-3.119289875030517578e-03
3.431525081396102905e-03,3.632421046495437622e-01,1.806698143482208252e+00,1.803241670131683350e-03,-1.077800989151000977e-03,-3.651857376098632812e-03
5.234766751527786255e-03,3.621643036603927612e-01,1.803046286106109619e+00,2.120781689882278442e-03,-1.367911696434020996e-03,-4.203677177429199219e-03
7.355548441410064697e-03,3.607963919639587402e-01,1.798842608928680420e+00,2.450976520776748657e-03,-1.719653606414794922e-03,-4.756033420562744141e-03
9.806524962186813354e-03,3.590767383575439453e-01,1.794086575508117676e+00,2.800857648253440857e-03,-2.132624387741088867e-03,-5.329191684722900391e-03
1.260738261044025421e-02,3.569441139698028564e-01,1.788757383823394775e+00,3.203587606549263000e-03,-2.642586827278137207e-03,-5.843758583068847656e-03
1.581097021698951721e-02,3.543015271425247192e-01,1.782913625240325928e+00,3.588987514376640320e-03,-3.235489130020141602e-03,-6.354212760925292969e-03
1.939995773136615753e-02,3.510660380125045776e-01,1.776559412479400635e+00,4.026370123028755188e-03,-3.901973366737365723e-03,-6.813645362854003906e-03
2.342632785439491272e-02,3.471640646457672119e-01,1.769745767116546631e+00,4.493793472647666931e-03,-4.648283123970031738e-03,-7.193863391876220703e-03
2.792012132704257965e-02,3.425157815217971802e-01,1.762551903724670410e+00,4.975155927240848541e-03,-5.482658743858337402e-03,-7.504284381866455078e-03
3.289527725428342819e-02,3.370331227779388428e-01,1.755047619342803955e+00,5.486484616994857788e-03,-6.389915943145751953e-03,-7.722854614257812500e-03
3.838176187127828598e-02,3.306432068347930908e-01,1.747324764728546143e+00,6.011046469211578369e-03,-7.342487573623657227e-03,-7.843673229217529297e-03
4.439280834048986435e-02,3.233007192611694336e-01,1.739481091499328613e+00,6.524953525513410568e-03,-8.314207196235656738e-03,-7.853448390960693359e-03
5.091776186600327492e-02,3.149865120649337769e-01,1.731627643108367920e+00,7.075852918205782771e-03,-9.333401918411254883e-03,-7.752954959869384766e-03
5.799361478420905769e-02,3.056531101465225220e-01,1.723874688148498535e+00,7.668730831937864423e-03,-1.035232841968536377e-02,-7.510066032409667969e-03
6.566234561614692211e-02,2.953007817268371582e-01,1.716364622116088867e+00,8.226612815633416176e-03,-1.133207976818084717e-02,-7.195830345153808594e-03
7.388895843178033829e-02,2.839687019586563110e-01,1.709168791770935059e+00,8.792750537395477295e-03,-1.230562478303909302e-02,-6.706476211547851562e-03
8.268170896917581558e-02,2.716630771756172180e-01,1.702462315559387207e+00,9.297645650804042816e-03,-1.315216720104217529e-02,-6.184160709381103516e-03
9.197935461997985840e-02,2.585109099745750427e-01,1.696278154850006104e+00,9.811062365770339966e-03,-1.392307877540588379e-02,-5.505919456481933594e-03
1.017904169857501984e-01,2.445878311991691589e-01,1.690772235393524170e+00,1.028068736195564270e-02,-1.457899808883666992e-02,-4.749119281768798828e-03
1.120711043477058411e-01,2.300088331103324890e-01,1.686023116111755371e+00,1.068058609962463379e-02,-1.510234177112579346e-02,-3.961980342864990234e-03
1.227516904473304749e-01,2.149064913392066956e-01,1.682061135768890381e+00,1.102339476346969604e-02,-1.550795137882232666e-02,-3.082156181335449219e-03
1.337750852108001709e-01,1.993985399603843689e-01,1.678978979587554932e+00,1.126503944396972656e-02,-1.570717245340347290e-02,-2.191305160522460938e-03
1.450401246547698975e-01,1.836913675069808960e-01,1.676787674427032471e+00,1.146714389324188232e-02,-1.582660526037216187e-02,-1.303791999816894531e-03
1.565072685480117798e-01,1.678647622466087341e-01,1.675483882427215576e+00,1.153579726815223694e-02,-1.572291925549507141e-02,-4.424452781677246094e-04
