# x, y, z, vx, vy, vz
1.175388135015964508e-02,3.619391173124313354e-01,1.812332272529602051e+00,-5.985889583826065063e-04,-3.115236759185791016e-04,2.194046974182128906e-04
1.115529239177703857e-02,3.616275936365127563e-01,1.812551677227020264e+00,-7.095392793416976929e-04,-4.419237375259399414e-04,-9.572505950927734375e-05
1.044575311243534088e-02,3.611856698989868164e-01,1.812455952167510986e+00,-8.479598909616470337e-04,-5.472898483276367188e-04,-4.200935363769531250e-04
9.597793221473693848e-03,3.606383800506591797e-01,1.812035858631134033e+00,-9.973458945751190186e-04,-6.583184003829956055e-04,-7.554292678833007812e-04
8.600447326898574829e-03,3.599800616502761841e-01,1.811280429363250732e+00,-1.130135729908943176e-03,-7.961690425872802734e-04,-1.099288463592529297e-03
7.470311596989631653e-03,3.591838926076889038e-01,1.810181140899658203e+00,-1.287706196308135986e-03,-9.488910436630249023e-04,-1.478135585784912109e-03
6.182605400681495667e-03,3.582350015640258789e-01,1.808703005313873291e+00,-1.460889354348182678e-03,-1.119181513786315918e-03,-1.893579959869384766e-03
4.721716046333312988e-03,3.571158200502395630e-01,1.806809425354003906e+00,-1.644238829612731934e-03,-1.306653022766113281e-03,-2.347171306610107422e-03
3.077477216720581055e-03,3.558091670274734497e-01,1.804462254047393799e+00,-1.855719834566116333e-03,-1.491397619247436523e-03,-2.811372280120849609e-03
1.221757382154464722e-03,3.543177694082260132e-01,1.801650881767272949e+00,-2.064324915409088135e-03,-1.735389232635498047e-03,-3.311932086944580078e-03
-8.425675332546234131e-04,3.525823801755905151e-01,1.798338949680328369e+00,-2.302967011928558350e-03,-2.017319202423095703e-03,-3.831923007965087891e-03
-3.145534545183181763e-03,3.505650609731674194e-01,1.794507026672363281e+00,-2.560032531619071960e-03,-2.334833145141601562e-03,-4.341840744018554688e-03
-5.705567076802253723e-03,3.482302278280258179e-01,1.790165185928344727e+00,-2.825129777193069458e-03,-2.674385905265808105e-03,-4.833161830902099609e-03
-8.530696853995323181e-03,3.455558419227600098e-01,1.785332024097442627e+00,-3.113197162747383118e-03,-3.071382641792297363e-03,-5.322337150573730469e-03
-1.164389401674270630e-02,3.424844592809677124e-01,1.780009686946868896e+00,-3.411004319787025452e-03,-3.526404500007629395e-03,-5.767822265625000000e-03
-1.505489833652973175e-02,3.389580547809600830e-01,1.774241864681243896e+00,-3.711780533194541931e-03,-4.010528326034545898e-03,-6.117999553680419922e-03
-1.876667886972427368e-02,3.349475264549255371e-01,1.768123865127563477e+00,-4.010066390037536621e-03,-4.567444324493408203e-03,-6.440460681915283203e-03
