# x, y, z, vx, vy, vz
1.884894073009490967e-02,3.680230826139450073e-01,1.821977257728576660e+00,-3.165379166603088379e-05,-4.276633262634277344e-06,4.768371582031250000e-07
1.881728693842887878e-02,3.680188059806823730e-01,1.821977734565734863e+00,1.842342317104339600e-05,5.361437797546386719e-05,-5.364418029785156250e-05
1.883571036159992218e-02,3.680724203586578369e-01,1.821924090385437012e+00,6.715208292007446289e-05,9.454786777496337891e-05,-9.179115295410156250e-05
1.890286244451999664e-02,3.681669682264328003e-01,1.821832299232482910e+00,1.154858618974685669e-04,1.531541347503662109e-04,-1.832842826843261719e-04
1.901834830641746521e-02,3.683201223611831665e-01,1.821649014949798584e+00,1.400317996740341187e-04,1.940429210662841797e-04,-2.548694610595703125e-04
1.915838010609149933e-02,3.685141652822494507e-01,1.821394145488739014e+00,1.537408679723739624e-04,2.438127994537353516e-04,-3.696084022521972656e-04
1.931212097406387329e-02,3.687579780817031860e-01,1.821024537086486816e+00,1.672394573688507080e-04,2.620816230773925781e-04,-4.971623420715332031e-04
1.947936043143272400e-02,3.690200597047805786e-01,1.820527374744415283e+00,1.583490520715713501e-04,2.802461385726928711e-04,-6.412863731384277344e-04
1.963770948350429535e-02,3.693003058433532715e-01,1.819886088371276855e+00,1.672320067882537842e-04,2.808570861816406250e-04,-8.195638656616210938e-04
1.980494149029254913e-02,3.695811629295349121e-01,1.819066524505615234e+00,1.356992870569229126e-04,2.834796905517578125e-04,-1.059532165527343750e-03
1.994064077734947205e-02,3.698646426200866699e-01,1.818006992340087891e+00,1.045633107423782349e-04,2.408325672149658203e-04,-1.306235790252685547e-03
2.004520408809185028e-02,3.701054751873016357e-01,1.816700756549835205e+00,1.005437225103378296e-04,1.436024904251098633e-04,-1.624941825866699219e-03
2.014574781060218811e-02,3.702490776777267456e-01,1.815075814723968506e+00,1.082457602024078369e-04,5.987286567687988281e-05,-1.969397068023681641e-03
2.025399357080459595e-02,3.703089505434036255e-01,1.813106417655944824e+00,1.265238970518112183e-04,-8.186697959899902344e-05,-2.366364002227783203e-03
2.038051746785640717e-02,3.702270835638046265e-01,1.810740053653717041e+00,1.248344779014587402e-04,-2.567172050476074219e-04,-2.787947654724121094e-03
