# x, y, z, vx, vy, vz
5.730350362136960030e-02,3.559049516916275024e-01,1.810242176055908203e+00,4.221827257424592972e-04,1.597404479980468750e-05,-1.820921897888183594e-04
5.772568634711205959e-02,3.559209257364273071e-01,1.810060083866119385e+00,4.599501844495534897e-04,-2.396255731582641602e-04,-5.253553390502929688e-04
5.818563653156161308e-02,3.556813001632690430e-01,1.809534728527069092e+00,5.609217332676053047e-04,-5.107223987579345703e-04,-8.627772331237792969e-04
5.874655826482921839e-02,3.551705777645111084e-01,1.808671951293945312e+00,6.500612944364547729e-04,-7.711499929428100586e-04,-1.187384128570556641e-03
5.939661955926567316e-02,3.543994277715682983e-01,1.807484567165374756e+00,7.708204211667180061e-04,-1.136511564254760742e-03,-1.534640789031982422e-03
6.016743998043239117e-02,3.532629162073135376e-01,1.805949926376342773e+00,9.483770736551377922e-04,-1.436010003089904785e-03,-1.864671707153320312e-03
6.111581705408752896e-02,3.518269062042236328e-01,1.804085254669189453e+00,1.165201942058047280e-03,-1.810774207115173340e-03,-2.238035202026367188e-03
6.228101899614557624e-02,3.500161319971084595e-01,1.801847219467163086e+00,1.434076868463307619e-03,-2.245396375656127930e-03,-2.597153186798095703e-03
6.371509586460888386e-02,3.477707356214523315e-01,1.799250066280364990e+00,1.705902861431241035e-03,-2.691864967346191406e-03,-2.993643283843994141e-03
6.542099872604012489e-02,3.450788706541061401e-01,1.796256422996520996e+00,2.026908099651336670e-03,-3.172799944877624512e-03,-3.378748893737792969e-03
6.744790682569146156e-02,3.419060707092285156e-01,1.792877674102783203e+00,2.439093776047229767e-03,-3.727912902832031250e-03,-3.765702247619628906e-03
6.988700060173869133e-02,3.381781578063964844e-01,1.789111971855163574e+00,2.826957497745752335e-03,-4.254162311553955078e-03,-4.167139530181884766e-03
7.271395809948444366e-02,3.339239954948425293e-01,1.784944832324981689e+00,3.247847780585289001e-03,-4.817962646484375000e-03,-4.536211490631103516e-03
7.596180588006973267e-02,3.291060328483581543e-01,1.780408620834350586e+00,3.729919902980327606e-03,-5.408152937889099121e-03,-4.850625991821289062e-03
7.969172578305006027e-02,3.236978799104690552e-01,1.775557994842529297e+00,4.176081158220767975e-03,-5.982309579849243164e-03,-5.144715309143066406e-03
